Player_ID,Team,Name,URL_ID,Captain,Wicket Keeper,Overseas,Role,Player URL,Nationality,DOB,Debut,Batting Style,Bowling Style
4,GG,Simran Shaikh,83648,N,N,N,Batter,https://www.wplt20.com/players/simran-shaikh-wpl-profile-83648,India,12-01-2002,2023,Right Handed,Leg Break
5,GG,Ashleigh Gardner,67023,Y,N,Y,All-Rounder,https://www.wplt20.com/players/ashleigh-gardner-wpl-profile-67023,Australia,15-04-1997,2023,Right Handed,Off Break
6,GG,Danielle Gibson,69749,N,N,Y,All-Rounder,https://www.wplt20.com/players/danielle-gibson-wpl-profile-69749,England,30-04-2001,2025,Right Handed,Right-Arm Medium
7,GG,Dayalan Hemalatha,69399,N,N,N,All-Rounder,https://www.wplt20.com/players/dayalan-hemalatha-wpl-profile-69399,India,29-09-1994,2023,Right Handed,Off Break
8,GG,Deandra Dottin,59467,N,N,Y,All-Rounder,https://www.wplt20.com/players/deandra-dottin-wpl-profile-59467,West Indies,21-06-1991,2025,Right Handed,Right-Arm Fast Medium
9,GG,Harleen Deol,70726,N,N,N,All-Rounder,https://www.wplt20.com/players/harleen-deol-wpl-profile-70726,India,21-06-1998,2023,Right Handed,Leg Break Googly
10,GG,Sayali Satghare,83633,N,N,N,All-Rounder,https://www.wplt20.com/players/sayali-satghare-wpl-profile-83633,India,02-07-2000,2024,Right Handed,Right-Arm Fast Medium
11,GG,Tanuja Kanwer,70721,N,N,N,All-Rounder,https://www.wplt20.com/players/tanuja-kanwer-wpl-profile-70721,India,28-01-1996,2023,Left Handed,Slow Left-Arm Orthodox
12,GG,Beth Mooney,64853,N,Y,Y,Wicket-Keeper,https://www.wplt20.com/players/beth-mooney-wpl-profile-64853,Australia,14-01-1994,2023,Left Handed,-
13,GG,Kashvee Gautam,75656,N,N,N,Bowler,https://www.wplt20.com/players/kashvee-gautam-wpl-profile-75656,India,18-04-2003,2025,Right Handed,Right-Arm Medium Fast
14,GG,Mannat Kashyap,84047,N,N,N,Bowler,https://www.wplt20.com/players/mannat-kashyap-wpl-profile-84047,India,15-12-2003,2024,Right Handed,Slow Left-Arm Orthodox
15,GG,Meghna Singh,66661,N,N,N,Bowler,https://www.wplt20.com/players/meghna-singh-wpl-profile-66661,India,18-06-1994,2024,Right Handed,Right-Arm Medium
16,GG,Prakashika Naik,83641,N,N,N,Bowler,https://www.wplt20.com/players/prakashika-naik-wpl-profile-83641,India,29-10-1997,-,Right Handed,Leg Break
17,GG,Priya Mishra,88981,N,N,N,Bowler,https://www.wplt20.com/players/priya-mishra-wpl-profile-88981,India,04-06-2004,2025,Right Handed,Leg Break Googly
18,GG,Shabnam Shakil,99180,N,N,N,Bowler,https://www.wplt20.com/players/shabnam-shakil-wpl-profile-99180,India,17-06-2007,2024,Right Handed,Right-Arm Medium
1,MIW,Harmanpreet Kaur,59348,Y,N,N,Batter,https://www.wplt20.com/players/harmanpreet-kaur-wpl-profile-59348,India,08-03-1989,2023,Right Handed,Off Break
2,MIW,Akshita Maheshwari,83917,N,N,N,All-Rounder,https://www.wplt20.com/players/akshita-maheshwari-wpl-profile-83917,India,10-10-2000,-,Right Handed,Right-Arm Fast Medium
3,MIW,Amandeep Kaur,99512,N,N,N,All-Rounder,https://www.wplt20.com/players/amandeep-kaur-wpl-profile-99512,India,02-03-2003,-,Left Handed,Left-Arm Wrist Spin
4,MIW,Amanjot Kaur,75657,N,N,N,All-Rounder,https://www.wplt20.com/players/amanjot-kaur-wpl-profile-75657,India,25-08-2000,2023,Right Handed,Right-Arm Medium Fast
5,MIW,Amelia Kerr,66632,N,N,Y,All-Rounder,https://www.wplt20.com/players/amelia-kerr-wpl-profile-66632,New Zealand,13-10-2000,2023,Right Handed,Leg Break
6,MIW,Chloe Tryon,11858,N,N,Y,All-Rounder,https://www.wplt20.com/players/chloe-tryon-wpl-profile-11858,South Africa,25-01-1994,-,Right Handed,Slow Left-Arm Orthodox
7,MIW,Hayley Matthews,64970,N,N,Y,All-Rounder,https://www.wplt20.com/players/hayley-matthews-wpl-profile-64970,West Indies,19-03-1998,2023,Right Handed,Off Break
8,MIW,Jintimani Kalita,89193,N,N,N,All-Rounder,https://www.wplt20.com/players/jintimani-kalita-wpl-profile-89193,India,25-12-2003,2023,Left Handed,Right-Arm Medium
9,MIW,Keerthana Balakrishnan,70719,N,N,N,All-Rounder,https://www.wplt20.com/players/keerthana-balakrishnan-wpl-profile-70719,India,08-10-2000,2024,Right Handed,Leg Break
10,MIW,Nadine de Klerk,67302,N,N,Y,All-Rounder,https://www.wplt20.com/players/nadine-de-klerk-wpl-profile-67302,South Africa,16-01-2000,2024,Right Handed,Right-Arm Medium
11,MIW,Natalie Sciver,63998,N,N,Y,All-Rounder,https://www.wplt20.com/players/natalie-sciver-wpl-profile-63998,England,20-08-1992,2023,Right Handed,Right-Arm Medium
12,MIW,Sajeevan Sajana,84022,N,N,N,All-Rounder,https://www.wplt20.com/players/sajeevan-sajana-wpl-profile-84022,India,04-01-1995,2024,Right Handed,Off Break
13,MIW,Sanskriti Gupta,84334,N,N,N,All-Rounder,https://www.wplt20.com/players/sanskriti-gupta-wpl-profile-84334,India,02-12-2004,2025,Left Handed,Off Spin
14,MIW,G. Kamalini,108890,N,Y,N,Wicket-Keeper,https://www.wplt20.com/players/g-kamalini-wpl-profile-108890,India,20-07-2008,2025,Left Handed,Leg Break
15,MIW,Yastika Bhatia,73424,N,Y,N,Wicket-Keeper,https://www.wplt20.com/players/yastika-bhatia-wpl-profile-73424,India,01-11-2000,2023,Left Handed,Slow Left-Arm Orthodox
16,MIW,Parunika Sisodia,89058,N,N,N,Bowler,https://www.wplt20.com/players/parunika-sisodia-wpl-profile-89058,India,01-09-2005,2025,Right Handed,Slow Left-Arm Orthodox
17,MIW,Saika Ishaque,100194,N,N,N,Bowler,https://www.wplt20.com/players/saika-ishaque-wpl-profile-100194,India,08-10-1995,2023,Left Handed,Slow Left-Arm Orthodox
18,MIW,Shabnim Ismail,6658,N,N,Y,Bowler,https://www.wplt20.com/players/shabnim-ismail-wpl-profile-6658,South Africa,05-10-1988,2023,Left Handed,Right-Arm Fast Medium
1,RCBW,Danni Wyatt,59131,N,N,Y,Batter,https://www.wplt20.com/players/danni-wyatt-wpl-profile-59131,England,22-04-1991,2025,Right Handed,Off Break
2,RCBW,Sabbineni Meghana,66677,N,N,N,Batter,https://www.wplt20.com/players/sabbineni-meghana-wpl-profile-66677,India,07-06-1996,2023,Right Handed,Right-Arm Medium
3,RCBW,Smriti Mandhana,63992,Y,N,N,Batter,https://www.wplt20.com/players/smriti-mandhana-wpl-profile-63992,India,18-07-1996,2023,Left Handed,Right-Arm Medium
4,RCBW,Charlie Dean,69779,N,N,Y,All-Rounder,https://www.wplt20.com/players/charlie-dean-wpl-profile-69779,England,22-12-2000,2025,Right Handed,Off Break
5,RCBW,Ellyse Perry,59956,N,N,Y,All-Rounder,https://www.wplt20.com/players/ellyse-perry-wpl-profile-59956,Australia,03-11-1990,2023,Right Handed,Right-Arm Fast Medium
6,RCBW,Georgia Wareham,67047,N,N,Y,All-Rounder,https://www.wplt20.com/players/georgia-wareham-wpl-profile-67047,Australia,26-05-1999,2023,Right Handed,Leg Break
7,RCBW,Heather Graham,67060,N,N,Y,All-Rounder,https://www.wplt20.com/players/heather-graham-wpl-profile-67060,Australia,10-05-1996,2025,Right Handed,Right-Arm Medium Fast
8,RCBW,Joshitha V J,84783,N,N,N,All-Rounder,https://www.wplt20.com/players/joshitha-v-j-wpl-profile-84783,India,24-07-2006,2025,Right Handed,Right-Arm Medium Fast
9,RCBW,Kanika Ahuja,84086,N,N,N,All-Rounder,https://www.wplt20.com/players/kanika-ahuja-wpl-profile-84086,India,07-08-2002,2023,Left Handed,Off Break
10,RCBW,Kim Garth,19948,N,N,Y,All-Rounder,https://www.wplt20.com/players/kim-garth-wpl-profile-19948,Australia,25-04-1996,2023,Right Handed,Right-Arm Medium Fast
11,RCBW,Prema Rawat,112786,N,N,N,All-Rounder,https://www.wplt20.com/players/prema-rawat-wpl-profile-112786,India,12-11-2001,2025,Right Handed,Leg Break
12,RCBW,Raghvi Bist,84247,N,N,N,All-Rounder,https://www.wplt20.com/players/raghvi-bist-wpl-profile-84247,India,11-10-2004,2025,Right Handed,Right-Arm Medium Fast
13,RCBW,Sneh Rana,64550,N,N,N,All-Rounder,https://www.wplt20.com/players/sneh-rana-wpl-profile-64550,India,18-02-1994,2023,Right Handed,Off Break
14,RCBW,Nuzhat Parween,66657,N,Y,N,Wicket-Keeper,https://www.wplt20.com/players/nuzhat-parween-wpl-profile-66657,India,05-09-1996,-,Right Handed,-
15,RCBW,Richa Ghosh,74530,N,Y,N,Wicket-Keeper,https://www.wplt20.com/players/richa-ghosh-wpl-profile-74530,India,28-09-2003,2023,Right Handed,Right-Arm Medium
16,RCBW,Ekta Bisht,57461,N,N,N,Bowler,https://www.wplt20.com/players/ekta-bisht-wpl-profile-57461,India,08-02-1986,2024,Left Handed,Slow Left-Arm Orthodox
17,RCBW,Jagravi Pawar,83639,N,N,N,Bowler,https://www.wplt20.com/players/jagravi-pawar-wpl-profile-83639,India,13-12-1999,-,Right Handed,Off Break
18,RCBW,Renuka Singh Thakur,70714,N,N,N,Bowler,https://www.wplt20.com/players/renuka-singh-wpl-profile-70714,India,02-01-1996,2023,Right Handed,Right-Arm Medium Fast
1,UPW,Arushi Goel,83622,N,N,N,Batter,https://www.wplt20.com/players/arushi-goel-wpl-profile-83622,India,26-09-1997,-,Right Handed,Right-Arm Medium
2,UPW,Georgia Voll,75001,N,N,Y,Batter,https://www.wplt20.com/players/georgia-voll-wpl-profile-75001,Australia,05-08-2003,2025,Right Handed,Off Break
3,UPW,Kiran Navgire,71461,N,N,N,Batter,https://www.wplt20.com/players/kiran-navgire-wpl-profile-71461,India,18-09-1994,2023,Right Handed,Off Break
4,UPW,Shweta Sehrawat,83619,N,N,N,Batter,https://www.wplt20.com/players/shweta-sehrawat-wpl-profile-83619,India,26-02-2004,2023,Right Handed,Off Spin
5,UPW,Vrinda Dinesh,82880,N,N,N,Batter,https://www.wplt20.com/players/vrinda-dinesh-wpl-profile-82880,India,02-03-2001,2024,Right Handed,Leg Break
6,UPW,Chinelle Henry,64347,N,N,Y,All-Rounder,https://www.wplt20.com/players/chinelle-henry-wpl-profile-64347,West Indies,17-08-1995,2025,Right Handed,Right-Arm Medium Fast
7,UPW,Deepti Sharma,65146,Y,N,N,All-Rounder,https://www.wplt20.com/players/deepti-sharma-wpl-profile-65146,India,24-08-1997,2023,Left Handed,Off Break
8,UPW,Grace Harris,65633,N,N,Y,All-Rounder,https://www.wplt20.com/players/grace-harris-wpl-profile-65633,Australia,18-09-1993,2023,Right Handed,Off Break
9,UPW,Kranti Gaud,84330,N,N,N,All-Rounder,https://www.wplt20.com/players/kranti-gaud-wpl-profile-84330,India,11-08-2003,2025,Right Handed,Right-Arm Medium Fast
10,UPW,Poonam Khemnar,71472,N,N,N,All-Rounder,https://www.wplt20.com/players/poonam-khemnar-wpl-profile-71472,India,09-05-1994,2023,Right Handed,Leg Break
11,UPW,Sophie Ecclestone,66391,N,N,Y,All-Rounder,https://www.wplt20.com/players/sophie-ecclestone-wpl-profile-66391,England,06-05-1999,2023,Right Handed,Slow Left-Arm Orthodox
12,UPW,Tahlia Mcgrath,66669,N,N,Y,All-Rounder,https://www.wplt20.com/players/tahlia-mcgrath-wpl-profile-66669,Australia,10-11-1995,2023,Right Handed,Right-Arm Medium
13,UPW,Uma Chetry,91809,N,N,N,All-Rounder,https://www.wplt20.com/players/uma-chetry-wpl-profile-91809,India,27-07-2002,2024,Right Handed,Right-Arm Medium
14,UPW,Alana King,67057,N,N,Y,Bowler,https://www.wplt20.com/players/alana-king-wpl-profile-67057,Australia,22-11-1995,2025,Right Handed,Leg Break
15,UPW,Anjali Sarvani,73428,N,N,N,Bowler,https://www.wplt20.com/players/anjali-sarvani-wpl-profile-73428,India,28-08-1997,2023,Left Handed,Left-Arm Medium Fast
16,UPW,Gouher Sultana,6731,N,N,N,Bowler,https://www.wplt20.com/players/gouher-sultana-wpl-profile-6731,India,31-03-1988,2024,Right Handed,Slow Left-Arm Orthodox
17,UPW,Rajeshwari Gayakwad,64549,N,N,N,Bowler,https://www.wplt20.com/players/rajeshwari-gayakwad-wpl-profile-64549,India,01-06-1991,2023,Right Handed,Slow Left-Arm Orthodox
18,UPW,Saima Thakor,83651,N,N,N,Bowler,https://www.wplt20.com/players/saima-thakor-wpl-profile-83651,India,13-09-1996,2024,Right Handed,Right-Arm Medium Fast
